sku,images,"m.value) SEPARATOR '|')"""
M-IC5FEB16NJS200,http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJS200_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJS200_02.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJS200_03.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJS200_04.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJS200_05.jpg,
M-IC5FEB16NJH300,http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJH300_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJH300_02.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJH300_03.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJH300_04.jpg,
M-IC5FEB16NJR400,http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJR400_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJR400_02.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJR400_03.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJR400_04.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJR400_05.jpg,
M-IC5FEB16NJM600,http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJM600_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJM600_02.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJM600_03.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJM600_04.jpg,
M-IC5FEB16NJA300,http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJA300_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJA300_02.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJA300_03.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJA300_04.jpg,
M-IC5FEB16NJW300,http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJW300_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJW300_02.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJW300_03.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJW300_04.jpg,
M-IC5FEB16NJM300,http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJM300_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJM300_02.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJM300_03.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJM300_04.jpg,
M-IC5FEB16NJU300,http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJU300_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJU300_02.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJU300_03.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJU300_04.jpg,
M-IC5FEB16NJE300,http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJE300_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJE300_02.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJE300_03.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJE300_04.jpg,
M-IC5FEB16NJL300,http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJL300_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJL300_02.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJL300_03.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJL300_04.jpg,
M-IC5FEB16NJP300,http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJP300_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJP300_02.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJP300_03.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJP300_04.jpg,
M-IC5FEB16NJS300,http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJS300_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJS300_02.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJS300_03.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJS300_04.jpg,
M-IC5FEB16NJF300,http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJF300_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJF300_02.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJF300_03.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJF300_04.jpg,
M-IC5FEB16NJS325,http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJS325_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJS325_02.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJS325_03.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJS325_04.jpg,
M-IC5FEB16NJC300,http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJC300_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJC300_02.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJC300_03.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJC300_04.jpg,
M-IC5FEB16NJB375,http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJB375_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJB375_02.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJB375_03.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJB375_04.jpg,
M-IC5FEB16NJB450,http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJB450_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJB450_02.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJB450_03.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJB450_04.jpg,
M-IC5FEB16NJD450,http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJD450_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJD450_02.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJD450_03.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJD450_04.jpg,
M-IC5FEB16NJJ450,http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJJ450_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJJ450_02.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJJ450_03.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJJ450_04.jpg,
M-IC5FEB16NJS375,http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJS375_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJS375_02.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJS375_03.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJS375_04.jpg,
M-IC5FEB16NJV375,http://assets8.exclusively.com/media/catalog/product/0/8/080216m_ic5feb16njv375_03.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216m_ic5feb16njv375_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216m_ic5feb16njv375_02.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216m_ic5feb16njv375_06.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216m_ic5feb16njv375_05.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216m_ic5feb16njv375_04.jpg,
M-IC5FEB16NJB325,http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJB325_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJB325_02.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJB325_03.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJB325_04.jpg,
