store,websites,sku,fitguide,description
"store_us,global_m_sv","app_us,global_m_web",RSRW045,size chart 1,"This shaded georgette saree gown is adorned with brocade panel at the border and crystal chains at the waist. It comes with a velvet blouse showcasing scooped neckline, floral applique work with crystals at the side and dori at the back with beaded tassels. <ul><li>Color: Fuchsia, Magenta </li><li>Measurement (inches): Blouse Length - 13.5"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette, Velvet</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW042XS,size chart 1,"This shaded georgette saree gown showcases floral motif and chains with crystals at the waist. It comes golden blouse adorned with net and sequins. Hidden zip at the side.<ul><li>Color: Wine, Maroon, Golden & Pink</li><li>Measurement (inches): Blouse Length - 14"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette, Net</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW042S,size chart 1,"This shaded georgette saree gown showcases floral motif and chains with crystals at the waist. It comes golden blouse adorned with net and sequins. Hidden zip at the side.<ul><li>Color: Wine, Maroon, Golden & Pink</li><li>Measurement (inches): Blouse Length - 14"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette, Net</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW042M,size chart 1,"This shaded georgette saree gown showcases floral motif and chains with crystals at the waist. It comes golden blouse adorned with net and sequins. Hidden zip at the side.<ul><li>Color: Wine, Maroon, Golden & Pink</li><li>Measurement (inches): Blouse Length - 14"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette, Net</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW042L,size chart 1,"This shaded georgette saree gown showcases floral motif and chains with crystals at the waist. It comes golden blouse adorned with net and sequins. Hidden zip at the side.<ul><li>Color: Wine, Maroon, Golden & Pink</li><li>Measurement (inches): Blouse Length - 14"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette, Net</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW042XL,size chart 1,"This shaded georgette saree gown showcases floral motif and chains with crystals at the waist. It comes golden blouse adorned with net and sequins. Hidden zip at the side.<ul><li>Color: Wine, Maroon, Golden & Pink</li><li>Measurement (inches): Blouse Length - 14"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette, Net</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW042,size chart 1,"This shaded georgette saree gown showcases floral motif and chains with crystals at the waist. It comes golden blouse adorned with net and sequins. Hidden zip at the side.<ul><li>Color: Wine, Maroon, Golden & Pink</li><li>Measurement (inches): Blouse Length - 14"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette, Net</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW033XS,size chart 1,"This net saree features neon pink, orange & yellow panels at the border. It comes with a pink blouse showcasing scooped neckline with crystals and threadwork. It is adorned with metallic and lurex threadwork at the yoke and floral-embroidered motif with crystals. Hidden zip at the side.<ul><li>Color: Beige, Pink</li><li>Measurement (inches): Blouse Length - 13"" ,  Saree Length -  214"" , Petticoat Length - 42.5"" (standard for all sizes)</li><li>Material: Net</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW033S,size chart 1,"This net saree features neon pink, orange & yellow panels at the border. It comes with a pink blouse showcasing scooped neckline with crystals and threadwork. It is adorned with metallic and lurex threadwork at the yoke and floral-embroidered motif with crystals. Hidden zip at the side.<ul><li>Color: Beige, Pink</li><li>Measurement (inches): Blouse Length - 13"" ,  Saree Length -  214"" , Petticoat Length - 42.5"" (standard for all sizes)</li><li>Material: Net</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW033M,size chart 1,"This net saree features neon pink, orange & yellow panels at the border. It comes with a pink blouse showcasing scooped neckline with crystals and threadwork. It is adorned with metallic and lurex threadwork at the yoke and floral-embroidered motif with crystals. Hidden zip at the side.<ul><li>Color: Beige, Pink</li><li>Measurement (inches): Blouse Length - 13"" ,  Saree Length -  214"" , Petticoat Length - 42.5"" (standard for all sizes)</li><li>Material: Net</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW033L,size chart 1,"This net saree features neon pink, orange & yellow panels at the border. It comes with a pink blouse showcasing scooped neckline with crystals and threadwork. It is adorned with metallic and lurex threadwork at the yoke and floral-embroidered motif with crystals. Hidden zip at the side.<ul><li>Color: Beige, Pink</li><li>Measurement (inches): Blouse Length - 13"" ,  Saree Length -  214"" , Petticoat Length - 42.5"" (standard for all sizes)</li><li>Material: Net</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW033XL,size chart 1,"This net saree features neon pink, orange & yellow panels at the border. It comes with a pink blouse showcasing scooped neckline with crystals and threadwork. It is adorned with metallic and lurex threadwork at the yoke and floral-embroidered motif with crystals. Hidden zip at the side.<ul><li>Color: Beige, Pink</li><li>Measurement (inches): Blouse Length - 13"" ,  Saree Length -  214"" , Petticoat Length - 42.5"" (standard for all sizes)</li><li>Material: Net</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW033,size chart 1,"This net saree features neon pink, orange & yellow panels at the border. It comes with a pink blouse showcasing scooped neckline with crystals and threadwork. It is adorned with metallic and lurex threadwork at the yoke and floral-embroidered motif with crystals. Hidden zip at the side.<ul><li>Color: Beige, Pink</li><li>Measurement (inches): Blouse Length - 13"" ,  Saree Length -  214"" , Petticoat Length - 42.5"" (standard for all sizes)</li><li>Material: Net</li><li>Wash Care: Dry Clean Only</li></ul>"
