store,websites,sku,name
"store_us,store_in,admin","app_us,app_in",IN14M150,"Leaf Black Onyx, Rose Quartz Embossed Earrings"
"store_us,store_in,admin","app_us,app_in",IN14M250,Mughal Tanzanite Gold Tone Brass Earrings
"store_us,store_in,admin","app_us,app_in",IN14M100,Spiral Carnelian Gold Tone Brass Earrings
"store_us,store_in,admin","app_us,app_in",IN14M291,Tourmaline and Green Aventurine Brass Kundan Earrings
"store_us,store_in,admin","app_us,app_in",IN14M320,Tourmaline and Green Labradorite Floral Brass Kundan Earrings
"store_us,store_in,admin","app_us,app_in",IN14M125,Floral Tourmaline Brass Kundan Maang Tikka
"store_us,store_in,admin","app_us,app_in",IN14M400,Amethyst and Rose Quartz Gold Tone Brass Necklace
"store_us,store_in,admin","app_us,app_in",IN118M,Meenakari Brass Earrings with Pearls
"store_us,store_in,admin","app_us,app_in",IN440M,Multicolored Navratna Brass Earrings
"store_us,store_in,admin","app_us,app_in",IN281G,Floral Blue Topaz Brass Kundan Danglers
"store_us,store_in,admin","app_us,app_in",IN125D,Red Opal and Green Chalcedony Gold Tone Brass Danglers
"store_us,store_in,admin","app_us,app_in",IN200F,Floral Etched Tourmaline Gold Tone Brass Earrings
"store_us,store_in,admin","app_us,app_in",IN240P,Textured Paisley Rose Quartz and Black Onyx Brass Hoop Earrings
"store_us,store_in,admin","app_us,app_in",IN225W,Crescent Tourmaline Brass Kundan Earrings
"store_us,store_in,admin","app_us,app_in",IN130P,Peacock Gold Tone Embossed Brass Jhumkis with Pearls
"store_us,store_in,admin","app_us,app_in",IN563B,Bird Brass Kundan Earrings with Pearls and Chains
"store_us,store_in,admin","app_us,app_in",IN100P,Crescent Tanzanite Gold Tone Brass Earrings
"store_us,store_in,admin","app_us,app_in",IN750T,Leaf Dual Tone Textured Danglers
"store_us,store_in,admin","app_us,app_in",IN240L,Textured Leaf Blue Quartz Brass Hoop Earrings
"store_us,store_in,admin","app_us,app_in",IN175J,Turquoise Gold Tone Textured Brass Jhumkis with Pearls
"store_us,store_in,admin","app_us,app_in",IN150C,Citrine and Smoky Quartz Gold Tone Brass Drop Earrings
"store_us,store_in,admin","app_us,app_in",IN237B,Blue Topaz Brass Kundan Earrings
"store_us,store_in,admin","app_us,app_in",INS251296,Tribal Dual Tone Silver Earrings
"store_us,store_in,admin","app_us,app_in",INS322225,Silver Ring with Hand-painted Lord Ganesha Motif
"store_us,store_in,admin","app_us,app_in",INS191857,Triangle Dual Tone Silver Earrings
"store_us,store_in,admin","app_us,app_in",INS312450,Dual Tone Silver Ring with Hand-painted Lord Krishna Motif
"store_us,store_in,admin","app_us,app_in",INS302400,Rasleela Hand-painted Dual Tone Silver Ring with Ghungroos
"store_us,store_in,admin","app_us,app_in",INS181692,Dual Tone Silver Earrings with Paan Motif
"store_us,store_in,admin","app_us,app_in",INS242160,Floral Dual Tone Silver Danglers with Rawa Work
"store_us,store_in,admin","app_us,app_in",INS203276,Tribal Dual Tone Silver Engraved Taveez Earrings
"store_us,store_in,admin","app_us,app_in",INS212232,Peacock Dual Tone Silver Taveez Earrings
"store_us,store_in,admin","app_us,app_in",INS232268,Dual Tone Silver Etched Jhumkis with Bird Motif
"store_us,store_in,admin","app_us,app_in",INS292736,Dual Tone Silver Etched Jhumkis with Rawa Work
"store_us,store_in,admin","app_us,app_in",INS282052,Floral Dual Tone Silver Etched Rawa Jhumkis
